  1602
    id          xc          yc          zc         gxc         gyc         gzc         vol                 R  mean_overdensity       ellipticity      inv_porosity
    98    418.5952   -522.2007    141.3964    413.3308   -520.9003    134.3223   219978.11           37.4481            0.2043          0.533232          0.676519
    99   -485.8009   -547.4006    -37.8029   -467.2771   -540.4124    -24.9163   315577.81           42.2350            0.2221          0.444437          0.697745
   100    -15.4030   -407.4012    183.3962    -16.1954   -408.8631    180.7738   661778.25           54.0598            0.1745          0.307232          0.604086
   101    130.1964    667.7941    -57.4028    130.8601    666.9092    -54.5211   238571.20           38.4748            0.2692          0.441851          0.614288
   102   -205.8021   -435.4011     -4.2030   -194.5983   -435.7803    -11.4006   404635.91           45.8837            0.2564          0.353300          0.482358
   103   -340.2015    -57.4028    222.5960   -355.7758    -68.2445    201.8303   355749.44           43.9560            0.1948          0.385049          0.530393
   104    174.9962    107.7965    -32.2029    194.4591     99.1634    -23.6937   328265.91           42.7936            0.2459          0.343714          0.651853
   105    527.7947   -609.0004    -18.2029    538.2222   -610.6326    -17.8555   294306.59           41.2639            0.2528          0.287323          0.625603
   106   -539.0007    160.9963    -82.6027   -546.9003    158.0955    -78.4427   248251.91           38.9883            0.2366          0.367375          0.607818
   107   -681.8000    471.7949   -152.6024   -673.5027    471.7711   -149.5088   218441.48           37.3607            0.2549          0.472356          0.540141
   108    247.7959    183.3962   -119.0025    260.0614    179.6491   -123.7855   188521.30           35.5706            0.2265          0.460415          0.631951
   109    317.7956   -681.8000     26.5969    314.6327   -663.3146     15.2216   263069.31           39.7491            0.2498          0.510842          0.664861
   110    172.1962   -144.2024      4.1970    178.6679   -159.3659     10.9322   244432.31           38.7873            0.2302          0.422480          0.618560
   111   -161.0023    183.3962     99.3965   -150.1458    186.9720     81.5523   647926.75           53.6800            0.1810          0.328283          0.568626
   112    110.5965    421.3951   -141.4024    124.3586    431.6524   -141.1014   224412.34           37.6981            0.2631          0.409797          0.533259
   113    186.1962    155.3963     65.7967    179.9137    156.9321     63.3217   147120.38           32.7488            0.2234          0.570950          0.555961
   114   -452.2010     29.3969    -74.2027   -468.3319     24.6821    -70.9152   338253.94           43.2233            0.2313          0.239489          0.550232
   115   -233.8020     51.7968   -135.8024   -215.1422     68.3955   -160.2757   342841.84           43.4179            0.2138          0.443517          0.600668
   116   -642.6002    306.5956    253.3959   -648.1038    316.7232    249.7093   137834.80           32.0447            0.1989          0.381691          0.665905
   117      6.9969    -46.2028    216.9960    -14.0658    -53.2944    207.3066   663622.19           54.1100            0.2625          0.486497          0.504090
   118   -309.4017     51.7968    -91.0026   -329.9433     45.3500    -92.5600   454949.22           47.7117            0.2358          0.458793          0.520170
   119    -85.4026    449.3950    -96.6026    -96.9311    437.2301   -101.3153   158140.12           33.5468            0.2048          0.347113          0.550777
   120   -334.6016   -141.4024   -211.4021   -346.0434   -133.6308   -211.7189   292089.47           41.1600            0.2396          0.350785          0.492882
   121     88.1966   -337.4016    -29.4029     75.5285   -338.6167    -33.9924   256110.62           39.3955            0.2084          0.518333          0.632288
   122   -124.6025    438.1951    -74.2027   -124.3930    423.4201    -70.0514   161213.38           33.7627            0.3040          0.363006          0.505330
   123   -326.2016    219.7960     15.3969   -349.3526    231.6796      7.9255   448649.09           47.4904            0.2061          0.444992          0.539043
   124     96.5966   -581.0005    -51.8028     82.8199   -587.2473    -50.4557   126990.65           31.1813            0.2319          0.519777          0.444019
   125   -284.2018    488.5948     71.3967   -309.4612    491.2852     76.3388   189267.66           35.6174            0.1991          0.647323          0.517327
   126   -315.0016     20.9969    102.1965   -315.9719     15.3522    106.8898   209594.94           36.8494            0.1866          0.645399          0.544866
   127    298.1957    681.7940    102.1965    298.3068    678.0609     89.3334   100692.50           28.8604            0.2740          0.457953          0.610635
   128   -368.2014    146.9963   -107.8026   -377.5616    143.2084   -101.9481   285723.47           40.8588            0.2347          0.425669          0.493150
   129    286.9957   -533.4007   -119.0025    292.7418   -514.4539   -130.4546   302297.03           41.6340            0.2363          0.573600          0.447780
   130    -29.4029     57.3967   -200.2021    -23.0954     53.1322   -209.0788   138778.72           32.1177            0.1948          0.538445          0.573729
   131   -239.4020    -43.4028     68.5967   -242.0384    -41.5121     68.6869   142686.12           32.4164            0.2248          0.489275          0.499951
   132   -161.0023   -550.2006     26.5969   -177.2187   -556.8505     16.9192   316060.75           42.2565            0.2258          0.468554          0.567850
   133    177.7962    211.3961   -161.0023    166.7603    207.7106   -160.6431   228188.05           37.9083            0.2277          0.378485          0.561039
   134   -617.4003   -488.6009      9.7969   -622.5453   -503.0722     14.8971   456990.72           47.7830            0.2243          0.498921          0.538788
   135   -186.2022   -443.8011    183.3962   -194.8111   -437.2364    190.4876   303767.78           41.7014            0.2493          0.253833          0.564015
   136    519.3947    620.1943     99.3965    530.6257    615.6876    103.7653   120119.77           30.6085            0.1618          0.345082          0.585642
   137   -368.2014   -200.2021   -219.8021   -367.0654   -215.5148   -219.8888   193592.14           35.8867            0.2366          0.130782          0.677628
   138   -558.6006    146.9963   -144.2024   -551.2788    147.2112   -152.1903   332436.72           42.9741            0.2331          0.459485          0.505219
   139   -662.2001   -407.4012    146.9963   -660.4012   -410.4492    149.0861    89738.59           27.7735            0.1980          0.317774          0.652099
   140   -536.2007   -152.6024    127.3964   -526.6683   -144.6360    129.2293   113534.25           30.0386            0.2323          0.593895          0.376670
   141   -177.8022    544.5946     99.3965   -177.5369    580.5426     93.7021   189816.45           35.6518            0.2259          0.561145          0.520183
   142   -116.2025     29.3969    247.7959   -106.4783     33.8447    239.4115   143673.95           32.4910            0.2185          0.472657          0.681720
   143    -51.8028    172.1962     51.7968    -58.1918    174.0232     62.0451   397677.22           45.6192            0.1906          0.515448          0.546960
   144   -278.6018    443.7950     46.1968   -275.4023    423.2556     58.5159   362203.25           44.2203            0.2147          0.536523          0.490498
   145   -331.8016   -191.8022     26.5969   -328.9909   -199.0708     18.3322   289806.50           41.0525            0.2100          0.590366          0.526792
   146    457.7950    424.1951     82.5966    476.1497    436.9431     80.9257   264430.31           39.8175            0.2236          0.311125          0.535146
   147     90.9966    -65.8027   -172.2023     90.2382    -77.9380   -160.8262   207421.72           36.7216            0.2142          0.559044          0.478556
   148     32.1968    146.9963    -96.6026     30.9518    167.7883    -91.4162   234619.89           38.2612            0.2384          0.607769          0.309760
   149    278.5958   -471.8010   -124.6025    267.5773   -481.1040   -134.6612   128263.85           31.2852            0.2677          0.345633          0.635973
   150   -477.4009     57.3967   -161.0023   -492.7305     49.4652   -150.1612   254552.05           39.3154            0.2111          0.599886          0.571348
   151    443.7950   -522.2007     93.7966    441.0371   -503.0804     87.5588   280191.66           40.5934            0.2480          0.491515          0.617492
   152   -189.0022    286.9957    -32.2029   -190.2471    291.0777    -23.0010   118056.30           30.4322            0.2535          0.493790          0.601067
   153    247.7959    449.3950     15.3969    239.1944    438.9489      2.7020   200748.41           36.3235            0.2542          0.547672          0.516258
   154    -68.6027   -320.6016    -43.4028    -60.7773   -311.2846    -24.3643   295865.16           41.3366            0.2302          0.400180          0.492477
   155    309.3956    555.7946   -191.8022    297.8747    581.1703   -189.4894   264781.53           39.8351            0.2776          0.514735          0.464063
   156   -315.0016    494.1948    -18.2029   -313.2857    490.8697    -12.8464   415172.72           46.2786            0.2198          0.482644          0.465521
   157    205.7961   -614.6003    116.1965    215.3719   -622.1031    111.8305   225773.36           37.7742            0.2551          0.467150          0.515043
   158   -284.2018   -158.2023    -46.2028   -282.5331   -151.3556    -30.1428   127495.54           31.2226            0.2083          0.463506          0.422360
   159    -65.8027    348.5955   -141.4024    -63.3797    358.2128   -135.0728   439780.59           47.1754            0.2517          0.440260          0.582241
   160   -539.0007    446.5950    138.5964   -541.2679    450.4485    145.7452    92724.03           28.0781            0.2288          0.401882          0.431276
   161    365.3954   -530.6007    -43.4028    373.1659   -522.4180    -42.8075    61596.50           24.4994            0.2566          0.284407          0.611173
   162   -441.0011    270.1958    183.3962   -447.3038    263.8693    183.9799   261027.80           39.6460            0.2044          0.597097          0.528076
   163    -54.6028   -247.8019   -105.0026    -41.4342   -246.8011    -94.2081   286008.84           40.8724            0.2469          0.588774          0.572366
   164   -628.6003   -278.6018    155.3963   -620.5981   -278.1295    157.2151   152300.97           33.1287            0.2454          0.262268          0.530054
   165      1.3970    149.7963     29.3969     -3.2390    155.7221     15.7882   317860.78           42.3366            0.2609          0.383108          0.439386
   166    348.5955   -595.0004     54.5967    361.5431   -597.3538     66.8270   290487.00           41.0846            0.2209          0.451127          0.559285
   167    -93.8026   -387.8013    -93.8026    -96.2571   -388.5710    -97.0437   126661.38           31.1543            0.2269          0.351953          0.681627
   168   -113.4025    443.7950    138.5964   -112.5453    461.4829    145.7042   315577.81           42.2350            0.2158          0.453879          0.541858
   169   -418.6012    -35.0029    236.5959   -421.2174    -29.2628    236.4496   101504.71           28.9378            0.2812          0.403140          0.435342
   170   -166.6023   -158.2023     54.5967   -163.2880   -178.2667     59.9417   202219.17           36.4120            0.2249          0.427494          0.592562
   171   -564.2006    603.3943    155.3963   -551.8485    605.4347    155.4204   120580.75           30.6476            0.2097          0.447751          0.606333
   172     18.1969   -161.0023     96.5966     19.2924   -152.4083     92.6824   139876.31           32.2022            0.2332          0.561893          0.619209
   173    149.7963   -253.4019      6.9969    154.1852   -248.5352      9.5429    81726.22           26.9210            0.2600          0.364877          0.614980
   174   -536.2007    160.9963   -211.4021   -539.3844    160.3569   -213.2051    90682.52           27.8705            0.2040          0.358241          0.739544
   175    127.3964    -12.6030    -85.4026    113.5762    -14.9347    -88.8974   135376.20           31.8531            0.2524          0.560372          0.572741
   176   -158.2023   -205.8021    -40.6028   -179.6857   -211.2365    -37.4589   299838.44           41.5209            0.2692          0.556623          0.472391
   177   -443.8011     71.3967      1.3970   -425.1553     63.5732      0.1702   214160.91           37.1151            0.2313          0.374613          0.627994
   178   -273.0018    242.1959    -54.6028   -261.5156    235.2849    -48.7540   274637.88           40.3234            0.2053          0.402137          0.547880
   179     76.9966   -424.2012   -133.0024     73.4708   -441.3567   -131.3719   117529.46           30.3869            0.2435          0.369318          0.506660
   180    337.3955     54.5967   -149.8024    342.3110     57.8217   -152.4457   185162.69           35.3581            0.2745          0.437652          0.511533
   181   -323.4016   -667.8001   -191.8022   -307.4545   -666.0228   -199.2135   243576.19           38.7420            0.2433          0.469633          0.592078
   182   -390.6013   -617.4003     26.5969   -386.7216   -622.1165     19.7285   121129.55           30.6940            0.2078          0.236892          0.705957
   183    286.9957    608.9943   -121.8025    278.0598    607.9742   -131.0277   152015.61           33.1080            0.2760          0.434279          0.680111
   184   -236.6020     79.7966     85.3966   -230.9911     54.1791     74.1089   264166.91           39.8043            0.2425          0.493180          0.545872
   185     40.5968    390.5953     93.7966     50.5988    373.4068     81.1877   420989.94           46.4937            0.2211          0.348041          0.553190
   186   -315.0016    390.5953     88.1966   -317.8410    388.5555     93.8091    88158.07           27.6095            0.1714          0.429653          0.604745
   187    331.7955    564.1945   -138.6024    341.4876    557.6058   -140.6667   230449.06           38.0331            0.2547          0.492196          0.602625
   188    219.7960    309.3956    113.3965    232.2870    322.7253    127.6166   103502.32           29.1264            0.2768          0.295098          0.464133
   189   -163.8023    415.7952    -82.6027   -170.0606    404.6970   -109.5641   186040.75           35.4139            0.2332          0.563901          0.528821
